SubCategory2,Segment,Offer_Type,Generosity Level,Scenario_Insight,Generosity_Numeric
Energy Drinks,New,Cashback,90%,Very high generosity – test with caution; high cost implications.,90
Energy Drinks,New,Cashback,95%,Very high generosity – test with caution; high cost implications.,95
Energy Drinks,New,Cashback,100%,Very high generosity – test with caution; high cost implications.,100
Energy Drinks,New,Discount,5%,Too low to drive behavior change in any segment.,5
Energy Drinks,New,Discount,10%,Insufficient to create meaningful impact in most contexts.,10
Energy Drinks,New,Discount,15%,Test this range in pilot to assess behavioral and financial response.,15
Energy Drinks,New,Discount,20%,Test this range in pilot to assess behavioral and financial response.,20
Energy Drinks,New,Discount,25%,Test this range in pilot to assess behavioral and financial response.,25
Energy Drinks,New,Discount,30%,Test this range in pilot to assess behavioral and financial response.,30
Energy Drinks,New,Discount,35%,Test this range in pilot to assess behavioral and financial response.,35
Energy Drinks,New,Discount,40%,Test this range in pilot to assess behavioral and financial response.,40
Energy Drinks,New,Discount,45%,Test this range in pilot to assess behavioral and financial response.,45
Energy Drinks,New,Discount,50%,Test this range in pilot to assess behavioral and financial response.,50
Energy Drinks,New,Discount,55%,Test this range in pilot to assess behavioral and financial response.,55
Energy Drinks,New,Discount,60%,Test this range in pilot to assess behavioral and financial response.,60
Energy Drinks,New,Discount,65%,Test this range in pilot to assess behavioral and financial response.,65
Energy Drinks,New,Discount,70%,Test this range in pilot to assess behavioral and financial response.,70
Energy Drinks,New,Discount,75%,Very high generosity – test with caution; high cost implications.,75
Energy Drinks,New,Discount,80%,Very high generosity – test with caution; high cost implications.,80
Energy Drinks,New,Discount,85%,Very high generosity – test with caution; high cost implications.,85
Energy Drinks,New,Discount,90%,Very high generosity – test with caution; high cost implications.,90
Energy Drinks,New,Discount,95%,Very high generosity – test with caution; high cost implications.,95
Energy Drinks,New,Discount,100%,Very high generosity – test with caution; high cost implications.,100
Frozen Food,Loyalist,BOGO,5%,Too low to drive behavior change in any segment.,5
Frozen Food,Loyalist,BOGO,10%,Insufficient to create meaningful impact in most contexts.,10
Frozen Food,Loyalist,BOGO,15%,Test this range in pilot to assess behavioral and financial response.,15
Frozen Food,Loyalist,BOGO,20%,Test this range in pilot to assess behavioral and financial response.,20
Frozen Food,Loyalist,BOGO,25%,Test this range in pilot to assess behavioral and financial response.,25
Frozen Food,Loyalist,BOGO,30%,Test this range in pilot to assess behavioral and financial response.,30
Frozen Food,Loyalist,BOGO,35%,Test this range in pilot to assess behavioral and financial response.,35
Frozen Food,Loyalist,BOGO,40%,Test this range in pilot to assess behavioral and financial response.,40
Frozen Food,Loyalist,BOGO,45%,Test this range in pilot to assess behavioral and financial response.,45
Frozen Food,Loyalist,BOGO,50%,Test this range in pilot to assess behavioral and financial response.,50
Frozen Food,Loyalist,BOGO,55%,Test this range in pilot to assess behavioral and financial response.,55
Frozen Food,Loyalist,BOGO,60%,Test this range in pilot to assess behavioral and financial response.,60
Frozen Food,Loyalist,BOGO,65%,Test this range in pilot to assess behavioral and financial response.,65
Frozen Food,Loyalist,BOGO,70%,Test this range in pilot to assess behavioral and financial response.,70
Frozen Food,Loyalist,BOGO,75%,Very high generosity – test with caution; high cost implications.,75
Frozen Food,Loyalist,BOGO,80%,Very high generosity – test with caution; high cost implications.,80
Frozen Food,Loyalist,BOGO,85%,Very high generosity – test with caution; high cost implications.,85
Frozen Food,Loyalist,BOGO,90%,Very high generosity – test with caution; high cost implications.,90
Frozen Food,Loyalist,BOGO,95%,Very high generosity – test with caution; high cost implications.,95
Frozen Food,Loyalist,BOGO,100%,Very high generosity – test with caution; high cost implications.,100
Frozen Food,Loyalist,Cashback,5%,Too low to drive behavior change in any segment.,5
Frozen Food,Loyalist,Cashback,10%,Effective for family-based trial purchases.,10
Frozen Food,Loyalist,Cashback,15%,Effective for family-based trial purchases.,15
Frozen Food,Loyalist,Cashback,20%,Effective for family-based trial purchases.,20
Frozen Food,Loyalist,Cashback,25%,Effective for family-based trial purchases.,25
Frozen Food,Loyalist,Cashback,30%,High cashback not justified for already price-sensitive segment.,30
Frozen Food,Loyalist,Cashback,35%,High cashback not justified for already price-sensitive segment.,35
Frozen Food,Loyalist,Cashback,40%,High cashback not justified for already price-sensitive segment.,40
Frozen Food,Loyalist,Cashback,45%,High cashback not justified for already price-sensitive segment.,45
Frozen Food,Loyalist,Cashback,50%,High cashback not justified for already price-sensitive segment.,50
Frozen Food,Loyalist,Cashback,55%,High cashback not justified for already price-sensitive segment.,55
Frozen Food,Loyalist,Cashback,60%,High cashback not justified for already price-sensitive segment.,60
Frozen Food,Loyalist,Cashback,65%,High cashback not justified for already price-sensitive segment.,65
Frozen Food,Loyalist,Cashback,70%,High cashback not justified for already price-sensitive segment.,70
Frozen Food,Loyalist,Cashback,75%,High cashback not justified for already price-sensitive segment.,75
Frozen Food,Loyalist,Cashback,80%,High cashback not justified for already price-sensitive segment.,80
Frozen Food,Loyalist,Cashback,85%,High cashback not justified for already price-sensitive segment.,85
Frozen Food,Loyalist,Cashback,90%,High cashback not justified for already price-sensitive segment.,90
Frozen Food,Loyalist,Cashback,95%,High cashback not justified for already price-sensitive segment.,95
Frozen Food,Loyalist,Cashback,100%,High cashback not justified for already price-sensitive segment.,100
Frozen Food,Loyalist,Discount,5%,Too low to drive behavior change in any segment.,5
Frozen Food,Loyalist,Discount,10%,Insufficient to create meaningful impact in most contexts.,10
Frozen Food,Loyalist,Discount,15%,Test this range in pilot to assess behavioral and financial response.,15
Frozen Food,Loyalist,Discount,20%,Test this range in pilot to assess behavioral and financial response.,20
Frozen Food,Loyalist,Discount,25%,Test this range in pilot to assess behavioral and financial response.,25
Frozen Food,Loyalist,Discount,30%,Test this range in pilot to assess behavioral and financial response.,30
Frozen Food,Loyalist,Discount,35%,Test this range in pilot to assess behavioral and financial response.,35
Frozen Food,Loyalist,Discount,40%,Test this range in pilot to assess behavioral and financial response.,40
Frozen Food,Loyalist,Discount,45%,Test this range in pilot to assess behavioral and financial response.,45
Frozen Food,Loyalist,Discount,50%,Test this range in pilot to assess behavioral and financial response.,50
Frozen Food,Loyalist,Discount,55%,Test this range in pilot to assess behavioral and financial response.,55
Frozen Food,Loyalist,Discount,60%,Test this range in pilot to assess behavioral and financial response.,60
Frozen Food,Loyalist,Discount,65%,Test this range in pilot to assess behavioral and financial response.,65
Frozen Food,Loyalist,Discount,70%,Test this range in pilot to assess behavioral and financial response.,70
Frozen Food,Loyalist,Discount,75%,Very high generosity – test with caution; high cost implications.,75
Frozen Food,Loyalist,Discount,80%,Very high generosity – test with caution; high cost implications.,80
Frozen Food,Loyalist,Discount,85%,Very high generosity – test with caution; high cost implications.,85
Frozen Food,Loyalist,Discount,90%,Very high generosity – test with caution; high cost implications.,90
Frozen Food,Loyalist,Discount,95%,Very high generosity – test with caution; high cost implications.,95
Frozen Food,Loyalist,Discount,100%,Very high generosity – test with caution; high cost implications.,100
Frozen Food,Lapsed,BOGO,5%,Too low to drive behavior change in any segment.,5
Frozen Food,Lapsed,BOGO,10%,Insufficient to create meaningful impact in most contexts.,10
Frozen Food,Lapsed,BOGO,15%,Test this range in pilot to assess behavioral and financial response.,15
Frozen Food,Lapsed,BOGO,20%,Test this range in pilot to assess behavioral and financial response.,20
Frozen Food,Lapsed,BOGO,25%,Test this range in pilot to assess behavioral and financial response.,25
Frozen Food,Lapsed,BOGO,30%,Test this range in pilot to assess behavioral and financial response.,30
Frozen Food,Lapsed,BOGO,35%,Test this range in pilot to assess behavioral and financial response.,35
Frozen Food,Lapsed,BOGO,40%,Test this range in pilot to assess behavioral and financial response.,40
Frozen Food,Lapsed,BOGO,45%,Test this range in pilot to assess behavioral and financial response.,45
Frozen Food,Lapsed,BOGO,50%,Test this range in pilot to assess behavioral and financial response.,50
Frozen Food,Lapsed,BOGO,55%,Test this range in pilot to assess behavioral and financial response.,55
Frozen Food,Lapsed,BOGO,60%,Test this range in pilot to assess behavioral and financial response.,60
Frozen Food,Lapsed,BOGO,65%,Test this range in pilot to assess behavioral and financial response.,65
Frozen Food,Lapsed,BOGO,70%,Test this range in pilot to assess behavioral and financial response.,70
Frozen Food,Lapsed,BOGO,75%,Very high generosity – test with caution; high cost implications.,75
Frozen Food,Lapsed,BOGO,80%,Very high generosity – test with caution; high cost implications.,80
Frozen Food,Lapsed,BOGO,85%,Very high generosity – test with caution; high cost implications.,85
Frozen Food,Lapsed,BOGO,90%,Very high generosity – test with caution; high cost implications.,90
Frozen Food,Lapsed,BOGO,95%,Very high generosity – test with caution; high cost implications.,95
Frozen Food,Lapsed,BOGO,100%,Very high generosity – test with caution; high cost implications.,100
Frozen Food,Lapsed,Cashback,5%,Too low to drive behavior change in any segment.,5
Frozen Food,Lapsed,Cashback,10%,Effective for family-based trial purchases.,10
Frozen Food,Lapsed,Cashback,15%,Effective for family-based trial purchases.,15
Frozen Food,Lapsed,Cashback,20%,Effective for family-based trial purchases.,20
Frozen Food,Lapsed,Cashback,25%,Effective for family-based trial purchases.,25
Frozen Food,Lapsed,Cashback,30%,High cashback not justified for already price-sensitive segment.,30
Frozen Food,Lapsed,Cashback,35%,High cashback not justified for already price-sensitive segment.,35
Frozen Food,Lapsed,Cashback,40%,High cashback not justified for already price-sensitive segment.,40
Frozen Food,Lapsed,Cashback,45%,High cashback not justified for already price-sensitive segment.,45
Frozen Food,Lapsed,Cashback,50%,High cashback not justified for already price-sensitive segment.,50
Frozen Food,Lapsed,Cashback,55%,High cashback not justified for already price-sensitive segment.,55
Frozen Food,Lapsed,Cashback,60%,High cashback not justified for already price-sensitive segment.,60
Frozen Food,Lapsed,Cashback,65%,High cashback not justified for already price-sensitive segment.,65
Frozen Food,Lapsed,Cashback,70%,High cashback not justified for already price-sensitive segment.,70
Frozen Food,Lapsed,Cashback,75%,High cashback not justified for already price-sensitive segment.,75
Frozen Food,Lapsed,Cashback,80%,High cashback not justified for already price-sensitive segment.,80
Frozen Food,Lapsed,Cashback,85%,High cashback not justified for already price-sensitive segment.,85
Frozen Food,Lapsed,Cashback,90%,High cashback not justified for already price-sensitive segment.,90
Frozen Food,Lapsed,Cashback,95%,High cashback not justified for already price-sensitive segment.,95
Frozen Food,Lapsed,Cashback,100%,High cashback not justified for already price-sensitive segment.,100
Frozen Food,Lapsed,Discount,5%,Too low to drive behavior change in any segment.,5
Frozen Food,Lapsed,Discount,10%,Insufficient to create meaningful impact in most contexts.,10
Frozen Food,Lapsed,Discount,15%,Test this range in pilot to assess behavioral and financial response.,15
Frozen Food,Lapsed,Discount,20%,Test this range in pilot to assess behavioral and financial response.,20
Frozen Food,Lapsed,Discount,25%,Test this range in pilot to assess behavioral and financial response.,25
Frozen Food,Lapsed,Discount,30%,Test this range in pilot to assess behavioral and financial response.,30
Frozen Food,Lapsed,Discount,35%,Test this range in pilot to assess behavioral and financial response.,35
Frozen Food,Lapsed,Discount,40%,Test this range in pilot to assess behavioral and financial response.,40
Frozen Food,Lapsed,Discount,45%,Test this range in pilot to assess behavioral and financial response.,45
Frozen Food,Lapsed,Discount,50%,Test this range in pilot to assess behavioral and financial response.,50
Frozen Food,Lapsed,Discount,55%,Test this range in pilot to assess behavioral and financial response.,55
Frozen Food,Lapsed,Discount,60%,Test this range in pilot to assess behavioral and financial response.,60
Frozen Food,Lapsed,Discount,65%,Test this range in pilot to assess behavioral and financial response.,65
Frozen Food,Lapsed,Discount,70%,Test this range in pilot to assess behavioral and financial response.,70
Frozen Food,Lapsed,Discount,75%,Very high generosity – test with caution; high cost implications.,75
Frozen Food,Lapsed,Discount,80%,Very high generosity – test with caution; high cost implications.,80
Frozen Food,Lapsed,Discount,85%,Very high generosity – test with caution; high cost implications.,85
Frozen Food,Lapsed,Discount,90%,Very high generosity – test with caution; high cost implications.,90
Frozen Food,Lapsed,Discount,95%,Very high generosity – test with caution; high cost implications.,95
Frozen Food,Lapsed,Discount,100%,Very high generosity – test with caution; high cost implications.,100
Frozen Food,New,BOGO,5%,Too low to drive behavior change in any segment.,5
Frozen Food,New,BOGO,10%,Insufficient to create meaningful impact in most contexts.,10
Frozen Food,New,BOGO,15%,Test this range in pilot to assess behavioral and financial response.,15
Frozen Food,New,BOGO,20%,Test this range in pilot to assess behavioral and financial response.,20
Frozen Food,New,BOGO,25%,Test this range in pilot to assess behavioral and financial response.,25
Frozen Food,New,BOGO,30%,Test this range in pilot to assess behavioral and financial response.,30
Frozen Food,New,BOGO,35%,Test this range in pilot to assess behavioral and financial response.,35
Frozen Food,New,BOGO,40%,Test this range in pilot to assess behavioral and financial response.,40
Frozen Food,New,BOGO,45%,Test this range in pilot to assess behavioral and financial response.,45
Frozen Food,New,BOGO,50%,Test this range in pilot to assess behavioral and financial response.,50
Frozen Food,New,BOGO,55%,Test this range in pilot to assess behavioral and financial response.,55
Frozen Food,New,BOGO,60%,Test this range in pilot to assess behavioral and financial response.,60
Frozen Food,New,BOGO,65%,Test this range in pilot to assess behavioral and financial response.,65
Frozen Food,New,BOGO,70%,Test this range in pilot to assess behavioral and financial response.,70
Frozen Food,New,BOGO,75%,Very high generosity – test with caution; high cost implications.,75
Frozen Food,New,BOGO,80%,Very high generosity – test with caution; high cost implications.,80
Frozen Food,New,BOGO,85%,Very high generosity – test with caution; high cost implications.,85
Frozen Food,New,BOGO,90%,Very high generosity – test with caution; high cost implications.,90
Frozen Food,New,BOGO,95%,Very high generosity – test with caution; high cost implications.,95
Frozen Food,New,BOGO,100%,Very high generosity – test with caution; high cost implications.,100
Frozen Food,New,Cashback,5%,Too low to drive behavior change in any segment.,5
Frozen Food,New,Cashback,10%,Effective for family-based trial purchases.,10
Frozen Food,New,Cashback,15%,Effective for family-based trial purchases.,15
Frozen Food,New,Cashback,20%,Effective for family-based trial purchases.,20
Frozen Food,New,Cashback,25%,Effective for family-based trial purchases.,25
Frozen Food,New,Cashback,30%,High cashback not justified for already price-sensitive segment.,30
Frozen Food,New,Cashback,35%,High cashback not justified for already price-sensitive segment.,35
Frozen Food,New,Cashback,40%,High cashback not justified for already price-sensitive segment.,40
Frozen Food,New,Cashback,45%,High cashback not justified for already price-sensitive segment.,45
Frozen Food,New,Cashback,50%,High cashback not justified for already price-sensitive segment.,50
Frozen Food,New,Cashback,55%,High cashback not justified for already price-sensitive segment.,55
Frozen Food,New,Cashback,60%,High cashback not justified for already price-sensitive segment.,60
Frozen Food,New,Cashback,65%,High cashback not justified for already price-sensitive segment.,65
Frozen Food,New,Cashback,70%,High cashback not justified for already price-sensitive segment.,70
Frozen Food,New,Cashback,75%,High cashback not justified for already price-sensitive segment.,75
Frozen Food,New,Cashback,80%,High cashback not justified for already price-sensitive segment.,80
Frozen Food,New,Cashback,85%,High cashback not justified for already price-sensitive segment.,85
Frozen Food,New,Cashback,90%,High cashback not justified for already price-sensitive segment.,90
Frozen Food,New,Cashback,95%,High cashback not justified for already price-sensitive segment.,95
Frozen Food,New,Cashback,100%,High cashback not justified for already price-sensitive segment.,100
Frozen Food,New,Discount,5%,Too low to drive behavior change in any segment.,5
Frozen Food,New,Discount,10%,Insufficient to create meaningful impact in most contexts.,10
Frozen Food,New,Discount,15%,Test this range in pilot to assess behavioral and financial response.,15
Frozen Food,New,Discount,20%,Test this range in pilot to assess behavioral and financial response.,20
Frozen Food,New,Discount,25%,Test this range in pilot to assess behavioral and financial response.,25
Frozen Food,New,Discount,30%,Test this range in pilot to assess behavioral and financial response.,30
Frozen Food,New,Discount,35%,Test this range in pilot to assess behavioral and financial response.,35
Frozen Food,New,Discount,40%,Test this range in pilot to assess behavioral and financial response.,40
Frozen Food,New,Discount,45%,Test this range in pilot to assess behavioral and financial response.,45
Frozen Food,New,Discount,50%,Test this range in pilot to assess behavioral and financial response.,50
Frozen Food,New,Discount,55%,Test this range in pilot to assess behavioral and financial response.,55
Frozen Food,New,Discount,60%,Test this range in pilot to assess behavioral and financial response.,60
Frozen Food,New,Discount,65%,Test this range in pilot to assess behavioral and financial response.,65
Frozen Food,New,Discount,70%,Test this range in pilot to assess behavioral and financial response.,70
Frozen Food,New,Discount,75%,Very high generosity – test with caution; high cost implications.,75
Frozen Food,New,Discount,80%,Very high generosity – test with caution; high cost implications.,80
Frozen Food,New,Discount,85%,Very high generosity – test with caution; high cost implications.,85
Frozen Food,New,Discount,90%,Very high generosity – test with caution; high cost implications.,90
Frozen Food,New,Discount,95%,Very high generosity – test with caution; high cost implications.,95
Frozen Food,New,Discount,100%,Very high generosity – test with caution; high cost implications.,100
Grocery,Loyalist,BOGO,5%,Too low to drive behavior change in any segment.,5
Grocery,Loyalist,BOGO,10%,Insufficient to create meaningful impact in most contexts.,10
Grocery,Loyalist,BOGO,15%,Test this range in pilot to assess behavioral and financial response.,15
Grocery,Loyalist,BOGO,20%,Test this range in pilot to assess behavioral and financial response.,20
Grocery,Loyalist,BOGO,25%,Test this range in pilot to assess behavioral and financial response.,25
Grocery,Loyalist,BOGO,30%,Test this range in pilot to assess behavioral and financial response.,30
Grocery,Loyalist,BOGO,35%,Test this range in pilot to assess behavioral and financial response.,35
Grocery,Loyalist,BOGO,40%,Test this range in pilot to assess behavioral and financial response.,40
Grocery,Loyalist,BOGO,45%,Test this range in pilot to assess behavioral and financial response.,45
Grocery,Loyalist,BOGO,50%,Test this range in pilot to assess behavioral and financial response.,50
Grocery,Loyalist,BOGO,55%,Test this range in pilot to assess behavioral and financial response.,55
Grocery,Loyalist,BOGO,60%,Test this range in pilot to assess behavioral and financial response.,60
Grocery,Loyalist,BOGO,65%,Test this range in pilot to assess behavioral and financial response.,65
Grocery,Loyalist,BOGO,70%,Test this range in pilot to assess behavioral and financial response.,70
Grocery,Loyalist,BOGO,75%,Very high generosity – test with caution; high cost implications.,75
Grocery,Loyalist,BOGO,80%,Very high generosity – test with caution; high cost implications.,80
Grocery,Loyalist,BOGO,85%,Very high generosity – test with caution; high cost implications.,85
Grocery,Loyalist,BOGO,90%,Very high generosity – test with caution; high cost implications.,90
Grocery,Loyalist,BOGO,95%,Very high generosity – test with caution; high cost implications.,95
Grocery,Loyalist,BOGO,100%,Very high generosity – test with caution; high cost implications.,100
Grocery,Loyalist,Cashback,5%,Too low to drive behavior change in any segment.,5
Grocery,Loyalist,Cashback,10%,Insufficient to create meaningful impact in most contexts.,10
Grocery,Loyalist,Cashback,15%,Test this range in pilot to assess behavioral and financial response.,15
Grocery,Loyalist,Cashback,20%,Test this range in pilot to assess behavioral and financial response.,20
Grocery,Loyalist,Cashback,25%,Test this range in pilot to assess behavioral and financial response.,25
Grocery,Loyalist,Cashback,30%,Test this range in pilot to assess behavioral and financial response.,30
Grocery,Loyalist,Cashback,35%,Test this range in pilot to assess behavioral and financial response.,35
Grocery,Loyalist,Cashback,40%,Test this range in pilot to assess behavioral and financial response.,40
Grocery,Loyalist,Cashback,45%,Test this range in pilot to assess behavioral and financial response.,45
Grocery,Loyalist,Cashback,50%,Test this range in pilot to assess behavioral and financial response.,50
Grocery,Loyalist,Cashback,55%,Test this range in pilot to assess behavioral and financial response.,55
Grocery,Loyalist,Cashback,60%,Test this range in pilot to assess behavioral and financial response.,60
Grocery,Loyalist,Cashback,65%,Test this range in pilot to assess behavioral and financial response.,65
Grocery,Loyalist,Cashback,70%,Test this range in pilot to assess behavioral and financial response.,70
Grocery,Loyalist,Cashback,75%,Very high generosity – test with caution; high cost implications.,75
Grocery,Loyalist,Cashback,80%,Very high generosity – test with caution; high cost implications.,80
Grocery,Loyalist,Cashback,85%,Very high generosity – test with caution; high cost implications.,85
Grocery,Loyalist,Cashback,90%,Very high generosity – test with caution; high cost implications.,90
Grocery,Loyalist,Cashback,95%,Very high generosity – test with caution; high cost implications.,95
Grocery,Loyalist,Cashback,100%,Very high generosity – test with caution; high cost implications.,100
Grocery,Loyalist,Discount,5%,Too low to drive behavior change in any segment.,5
Grocery,Loyalist,Discount,10%,Insufficient to create meaningful impact in most contexts.,10
Grocery,Loyalist,Discount,15%,Test this range in pilot to assess behavioral and financial response.,15
Grocery,Loyalist,Discount,20%,Test this range in pilot to assess behavioral and financial response.,20
Grocery,Loyalist,Discount,25%,Test this range in pilot to assess behavioral and financial response.,25
Grocery,Loyalist,Discount,30%,Test this range in pilot to assess behavioral and financial response.,30
Grocery,Loyalist,Discount,35%,Test this range in pilot to assess behavioral and financial response.,35
Grocery,Loyalist,Discount,40%,Test this range in pilot to assess behavioral and financial response.,40
Grocery,Loyalist,Discount,45%,Test this range in pilot to assess behavioral and financial response.,45
Grocery,Loyalist,Discount,50%,Test this range in pilot to assess behavioral and financial response.,50
Grocery,Loyalist,Discount,55%,Test this range in pilot to assess behavioral and financial response.,55
Grocery,Loyalist,Discount,60%,Test this range in pilot to assess behavioral and financial response.,60
Grocery,Loyalist,Discount,65%,Test this range in pilot to assess behavioral and financial response.,65
Grocery,Loyalist,Discount,70%,Test this range in pilot to assess behavioral and financial response.,70
Grocery,Loyalist,Discount,75%,Very high generosity – test with caution; high cost implications.,75
Grocery,Loyalist,Discount,80%,Very high generosity – test with caution; high cost implications.,80
Grocery,Loyalist,Discount,85%,Very high generosity – test with caution; high cost implications.,85
Grocery,Loyalist,Discount,90%,Very high generosity – test with caution; high cost implications.,90
Grocery,Loyalist,Discount,95%,Very high generosity – test with caution; high cost implications.,95
Grocery,Loyalist,Discount,100%,Very high generosity – test with caution; high cost implications.,100
Grocery,Lapsed,BOGO,5%,Too low to drive behavior change in any segment.,5
Grocery,Lapsed,BOGO,10%,Insufficient to create meaningful impact in most contexts.,10
Grocery,Lapsed,BOGO,15%,Test this range in pilot to assess behavioral and financial response.,15
Grocery,Lapsed,BOGO,20%,Test this range in pilot to assess behavioral and financial response.,20
Grocery,Lapsed,BOGO,25%,Test this range in pilot to assess behavioral and financial response.,25
Grocery,Lapsed,BOGO,30%,Test this range in pilot to assess behavioral and financial response.,30
Grocery,Lapsed,BOGO,35%,Test this range in pilot to assess behavioral and financial response.,35
Grocery,Lapsed,BOGO,40%,Test this range in pilot to assess behavioral and financial response.,40
Grocery,Lapsed,BOGO,45%,Test this range in pilot to assess behavioral and financial response.,45
Grocery,Lapsed,BOGO,50%,Test this range in pilot to assess behavioral and financial response.,50
Grocery,Lapsed,BOGO,55%,Test this range in pilot to assess behavioral and financial response.,55
Grocery,Lapsed,BOGO,60%,Test this range in pilot to assess behavioral and financial response.,60
Grocery,Lapsed,BOGO,65%,Test this range in pilot to assess behavioral and financial response.,65
Grocery,Lapsed,BOGO,70%,Test this range in pilot to assess behavioral and financial response.,70
Grocery,Lapsed,BOGO,75%,Very high generosity – test with caution; high cost implications.,75
Grocery,Lapsed,BOGO,80%,Very high generosity – test with caution; high cost implications.,80
Grocery,Lapsed,BOGO,85%,Very high generosity – test with caution; high cost implications.,85
Grocery,Lapsed,BOGO,90%,Very high generosity – test with caution; high cost implications.,90
Grocery,Lapsed,BOGO,95%,Very high generosity – test with caution; high cost implications.,95
Grocery,Lapsed,BOGO,100%,Very high generosity – test with caution; high cost implications.,100
Grocery,Lapsed,Cashback,5%,Too low to drive behavior change in any segment.,5
Grocery,Lapsed,Cashback,10%,Insufficient to create meaningful impact in most contexts.,10
Grocery,Lapsed,Cashback,15%,Test this range in pilot to assess behavioral and financial response.,15
Grocery,Lapsed,Cashback,20%,Test this range in pilot to assess behavioral and financial response.,20
Grocery,Lapsed,Cashback,25%,Test this range in pilot to assess behavioral and financial response.,25
Grocery,Lapsed,Cashback,30%,Test this range in pilot to assess behavioral and financial response.,30
Grocery,Lapsed,Cashback,35%,Test this range in pilot to assess behavioral and financial response.,35
Grocery,Lapsed,Cashback,40%,Test this range in pilot to assess behavioral and financial response.,40
Grocery,Lapsed,Cashback,45%,Test this range in pilot to assess behavioral and financial response.,45
Grocery,Lapsed,Cashback,50%,Test this range in pilot to assess behavioral and financial response.,50
Grocery,Lapsed,Cashback,55%,Test this range in pilot to assess behavioral and financial response.,55
Grocery,Lapsed,Cashback,60%,Test this range in pilot to assess behavioral and financial response.,60
Grocery,Lapsed,Cashback,65%,Test this range in pilot to assess behavioral and financial response.,65
Grocery,Lapsed,Cashback,70%,Test this range in pilot to assess behavioral and financial response.,70
Grocery,Lapsed,Cashback,75%,Very high generosity – test with caution; high cost implications.,75
Grocery,Lapsed,Cashback,80%,Very high generosity – test with caution; high cost implications.,80
Grocery,Lapsed,Cashback,85%,Very high generosity – test with caution; high cost implications.,85
Grocery,Lapsed,Cashback,90%,Very high generosity – test with caution; high cost implications.,90
Grocery,Lapsed,Cashback,95%,Very high generosity – test with caution; high cost implications.,95
Grocery,Lapsed,Cashback,100%,Very high generosity – test with caution; high cost implications.,100
Grocery,Lapsed,Discount,5%,Too low to drive behavior change in any segment.,5
Grocery,Lapsed,Discount,10%,Insufficient to create meaningful impact in most contexts.,10
Grocery,Lapsed,Discount,15%,Test this range in pilot to assess behavioral and financial response.,15
Grocery,Lapsed,Discount,20%,Test this range in pilot to assess behavioral and financial response.,20
Grocery,Lapsed,Discount,25%,Test this range in pilot to assess behavioral and financial response.,25
Grocery,Lapsed,Discount,30%,Test this range in pilot to assess behavioral and financial response.,30
Grocery,Lapsed,Discount,35%,Test this range in pilot to assess behavioral and financial response.,35
Grocery,Lapsed,Discount,40%,Test this range in pilot to assess behavioral and financial response.,40
Grocery,Lapsed,Discount,45%,Test this range in pilot to assess behavioral and financial response.,45
Grocery,Lapsed,Discount,50%,Test this range in pilot to assess behavioral and financial response.,50
Grocery,Lapsed,Discount,55%,Test this range in pilot to assess behavioral and financial response.,55
Grocery,Lapsed,Discount,60%,Test this range in pilot to assess behavioral and financial response.,60
Grocery,Lapsed,Discount,65%,Test this range in pilot to assess behavioral and financial response.,65
Grocery,Lapsed,Discount,70%,Test this range in pilot to assess behavioral and financial response.,70
Grocery,Lapsed,Discount,75%,Very high generosity – test with caution; high cost implications.,75
Grocery,Lapsed,Discount,80%,Very high generosity – test with caution; high cost implications.,80
Grocery,Lapsed,Discount,85%,Very high generosity – test with caution; high cost implications.,85
Grocery,Lapsed,Discount,90%,Very high generosity – test with caution; high cost implications.,90
Grocery,Lapsed,Discount,95%,Very high generosity – test with caution; high cost implications.,95
Grocery,Lapsed,Discount,100%,Very high generosity – test with caution; high cost implications.,100
Grocery,New,BOGO,5%,Too low to drive behavior change in any segment.,5
Grocery,New,BOGO,10%,Insufficient to create meaningful impact in most contexts.,10
Grocery,New,BOGO,15%,Test this range in pilot to assess behavioral and financial response.,15
Grocery,New,BOGO,20%,Test this range in pilot to assess behavioral and financial response.,20
Grocery,New,BOGO,25%,Test this range in pilot to assess behavioral and financial response.,25
Grocery,New,BOGO,30%,Test this range in pilot to assess behavioral and financial response.,30
Grocery,New,BOGO,35%,Test this range in pilot to assess behavioral and financial response.,35
Grocery,New,BOGO,40%,Test this range in pilot to assess behavioral and financial response.,40
Grocery,New,BOGO,45%,Test this range in pilot to assess behavioral and financial response.,45
Grocery,New,BOGO,50%,Test this range in pilot to assess behavioral and financial response.,50
Grocery,New,BOGO,55%,Test this range in pilot to assess behavioral and financial response.,55
Grocery,New,BOGO,60%,Test this range in pilot to assess behavioral and financial response.,60
Grocery,New,BOGO,65%,Test this range in pilot to assess behavioral and financial response.,65
Grocery,New,BOGO,70%,Test this range in pilot to assess behavioral and financial response.,70
Grocery,New,BOGO,75%,Very high generosity – test with caution; high cost implications.,75
Grocery,New,BOGO,80%,Very high generosity – test with caution; high cost implications.,80
Grocery,New,BOGO,85%,Very high generosity – test with caution; high cost implications.,85
Grocery,New,BOGO,90%,Very high generosity – test with caution; high cost implications.,90
Grocery,New,BOGO,95%,Very high generosity – test with caution; high cost implications.,95
Grocery,New,BOGO,100%,Very high generosity – test with caution; high cost implications.,100
Grocery,New,Cashback,5%,Too low to drive behavior change in any segment.,5
Grocery,New,Cashback,10%,Insufficient to create meaningful impact in most contexts.,10
